start_time,BTCUSDT_close,BTCUSDT_low,BTCUSDT_high,BTCUSDT_open
2024-09-11T03:40:00.000,56814.510000,56812.000000,56866.000000,56866.000000
2024-09-11T03:41:00.000,56814.010000,56806.000000,56820.000000,56814.520000
2024-09-11T03:42:00.000,56809.500000,56809.500000,56814.010000,56814.000000
2024-09-11T03:43:00.000,56784.020000,56784.010000,56811.360000,56809.510000
2024-09-11T03:44:00.000,56796.000000,56735.720000,56796.000000,56784.010000
2024-09-11T03:45:00.000,56814.000000,56782.000000,56818.000000,56796.000000
2024-09-11T03:46:00.000,56829.990000,56806.280000,56830.000000,56814.010000
2024-09-11T03:47:00.000,56849.990000,56829.990000,56850.000000,56829.990000
2024-09-11T03:48:00.000,56837.390000,56800.550000,56856.000000,56850.000000
2024-09-11T03:49:00.000,56814.000000,56814.000000,56840.000000,56837.390000
2024-09-11T03:50:00.000,56772.000000,56772.000000,56814.000000,56814.000000
2024-09-11T03:51:00.000,56766.000000,56766.000000,56784.000000,56772.000000
2024-09-11T03:52:00.000,56793.920000,56766.000000,56798.000000,56766.010000
2024-09-11T03:53:00.000,56758.020000,56758.010000,56793.930000,56793.920000
2024-09-11T03:54:00.000,56775.990000,56750.010000,56775.990000,56758.010000
2024-09-11T03:55:00.000,56762.000000,56762.000000,56776.000000,56776.000000
2024-09-11T03:56:00.000,56752.010000,56736.000000,56762.000000,56762.000000
2024-09-11T03:57:00.000,56789.480000,56740.000000,56789.480000,56752.010000
2024-09-11T03:58:00.000,56792.690000,56789.470000,56792.690000,56789.470000
2024-09-11T03:59:00.000,56819.550000,56792.680000,56819.560000,56792.690000
2024-09-11T04:00:00.000,56780.000000,56775.770000,56819.560000,56819.560000
2024-09-11T04:01:00.000,56786.350000,56779.990000,56790.000000,56780.000000
2024-09-11T04:02:00.000,56796.290000,56758.720000,56802.940000,56786.350000
2024-09-11T04:03:00.000,56760.010000,56758.010000,56797.600000,56796.300000
2024-09-11T04:04:00.000,56741.810000,56741.800000,56760.010000,56760.010000
2024-09-11T04:05:00.000,56727.000000,56724.770000,56749.020000,56741.810000
2024-09-11T04:06:00.000,56778.000000,56727.000000,56784.000000,56727.000000
2024-09-11T04:07:00.000,56745.990000,56745.990000,56778.000000,56778.000000
2024-09-11T04:08:00.000,56711.100000,56711.100000,56745.510000,56745.510000
2024-09-11T04:09:00.000,56698.430000,56620.090000,56715.990000,56711.100000
2024-09-11T04:10:00.000,56740.000000,56674.000000,56761.500000,56698.420000
2024-09-11T04:11:00.000,56664.010000,56659.680000,56740.000000,56740.000000
2024-09-11T04:12:00.000,56708.010000,56658.000000,56716.000000,56664.000000
2024-09-11T04:13:00.000,56634.610000,56634.610000,56708.020000,56708.020000
2024-09-11T04:14:00.000,56655.130000,56599.190000,56656.000000,56634.610000
2024-09-11T04:15:00.000,56573.990000,56553.670000,56655.130000,56655.130000
2024-09-11T04:16:00.000,56583.650000,56573.990000,56621.100000,56573.990000
2024-09-11T04:17:00.000,56478.000000,56448.000000,56583.650000,56583.650000
2024-09-11T04:18:00.000,56386.000000,56256.460000,56478.000000,56478.000000
2024-09-11T04:19:00.000,56339.020000,56298.000000,56391.100000,56386.000000
2024-09-11T04:20:00.000,56312.490000,56262.720000,56343.820000,56339.020000
2024-09-11T04:21:00.000,56322.190000,56266.000000,56352.160000,56312.490000
2024-09-11T04:22:00.000,56416.490000,56322.190000,56416.490000,56322.190000
2024-09-11T04:23:00.000,56431.110000,56390.010000,56447.150000,56416.490000
2024-09-11T04:24:00.000,56443.980000,56428.900000,56454.040000,56431.120000
2024-09-11T04:25:00.000,56396.010000,56396.000000,56466.000000,56443.980000
2024-09-11T04:26:00.000,56378.000000,56366.000000,56405.740000,56396.010000
2024-09-11T04:27:00.000,56390.190000,56378.000000,56404.000000,56378.000000
2024-09-11T04:28:00.000,56460.530000,56391.630000,56460.530000,56391.640000
2024-09-11T04:29:00.000,56500.000000,56460.520000,56504.000000,56460.530000
2024-09-11T04:30:00.000,56472.000000,56458.000000,56500.010000,56500.000000
2024-09-11T04:31:00.000,56453.990000,56446.000000,56472.000000,56471.990000
2024-09-11T04:32:00.000,56466.890000,56448.000000,56470.000000,56453.990000
2024-09-11T04:33:00.000,56442.000000,56442.000000,56470.000000,56466.890000
2024-09-11T04:34:00.000,56444.000000,56430.000000,56454.000000,56442.010000
2024-09-11T04:35:00.000,56465.980000,56441.640000,56466.000000,56442.010000
2024-09-11T04:36:00.000,56420.000000,56402.000000,56465.990000,56465.990000
2024-09-11T04:37:00.000,56404.000000,56397.690000,56430.000000,56420.000000
2024-09-11T04:38:00.000,56413.990000,56376.000000,56414.000000,56403.990000
2024-09-11T04:39:00.000,56419.320000,56402.040000,56433.830000,56413.990000
2024-09-11T04:40:00.000,56418.000000,56416.500000,56447.990000,56419.330000
2024-09-11T04:41:00.000,56454.090000,56417.990000,56457.320000,56417.990000
2024-09-11T04:42:00.000,56402.010000,56402.000000,56457.320000,56454.100000
2024-09-11T04:43:00.000,56384.010000,56382.000000,56430.000000,56402.000000
2024-09-11T04:44:00.000,56407.500000,56350.000000,56408.000000,56384.000000
2024-09-11T04:45:00.000,56355.350000,56339.910000,56407.490000,56407.490000
2024-09-11T04:46:00.000,56378.660000,56348.710000,56378.670000,56355.350000
2024-09-11T04:47:00.000,56377.090000,56370.000000,56410.000000,56378.660000
2024-09-11T04:48:00.000,56306.000000,56290.110000,56377.080000,56377.080000
2024-09-11T04:49:00.000,56282.010000,56282.010000,56332.000000,56306.000000
2024-09-11T04:50:00.000,56378.010000,56252.000000,56395.350000,56282.010000
2024-09-11T04:51:00.000,56400.020000,56352.000000,56402.000000,56378.010000
2024-09-11T04:52:00.000,56420.990000,56332.180000,56420.990000,56400.020000
2024-09-11T04:53:00.000,56474.000000,56420.980000,56474.000000,56420.980000
2024-09-11T04:54:00.000,56489.840000,56466.100000,56489.840000,56473.990000
2024-09-11T04:55:00.000,56494.010000,56489.830000,56518.750000,56489.840000
2024-09-11T04:56:00.000,56487.470000,56460.000000,56498.000000,56494.000000
2024-09-11T04:57:00.000,56535.990000,56487.460000,56536.000000,56487.470000
2024-09-11T04:58:00.000,56554.000000,56535.990000,56571.060000,56536.000000
